player,team,position,age_2025,bats,uses_torpedo_2025,at_bats_2024,at_bats_2025,avg_exit_velocity_2024,avg_exit_velocity_2025,barrel_pct_2024,barrel_pct_2025,bat_speed_2024,bat_speed_2025,batting_avg_2024,batting_avg_2025,bb_pct_2024,bb_pct_2025,hard_hit_pct_2024,hard_hit_pct_2025,home_runs_2024,home_runs_2025,hr_per_ab_2024,hr_per_ab_2025,k_pct_2024,k_pct_2025,obp_2024,obp_2025,ops_2024,ops_2025,slg_2024,slg_2025,d_avg_exit_velocity,d_hard_hit_pct,d_barrel_pct,d_bat_speed,d_batting_avg,d_obp,d_slg,d_ops,d_hr_per_ab,d_k_pct,d_bb_pct,d_hr_per_ab_pct,bats_R,bats_L,bats_S,age_group,z_ev24,z_hh24,z_bs24,big_improver
Aaron Judge,NYY,OF,33,R,0,474.0,444.0,88.0,88.3,11.6,10.2,70.4,69.6,0.258,0.259,10.3,11.1,23.1,23.7,6.0,5.0,0.0127,0.012,18.0,18.2,0.359,0.367,0.685,0.708,0.327,0.341,0.29999999999999716,0.5999999999999979,-1.4000000000000004,-0.8000000000000114,0.0010000000000000009,0.008000000000000007,0.014000000000000012,0.02299999999999991,-0.0006999999999999992,0.1999999999999993,0.7999999999999989,-5.5118110236220375,1,0,0,30-35,0.2534495139855522,-2.1306556642363748,-0.4585863231741143,0
Adley Rutschman,BAL,C,28,S,1,398.0,585.0,83.7,83.6,7.6,8.3,69.3,69.8,0.251,0.258,13.4,15.9,34.9,33.7,10.0,15.0,0.0251,0.0254,21.4,21.7,0.323,0.345,0.74,0.819,0.417,0.474,-0.10000000000000853,-1.1999999999999957,0.7000000000000011,0.5,0.007000000000000006,0.021999999999999964,0.056999999999999995,0.07899999999999996,0.0002999999999999982,0.3000000000000007,2.5,1.195219123505975,0,0,1,25-30,-0.9255254019947363,-0.32459134473123535,-0.9373419522285781,0
Alec Bohm,PHI,3B,28,R,1,491.0,525.0,87.8,86.9,4.7,4.1,71.6,71.8,0.243,0.217,6.9,6.8,44.4,41.9,30.0,26.0,0.0611,0.05,21.2,19.4,0.311,0.313,0.779,0.856,0.468,0.543,-0.8999999999999915,-2.5,-0.6000000000000005,0.20000000000000284,-0.025999999999999995,0.0020000000000000018,0.07500000000000001,0.07699999999999996,-0.011099999999999999,-1.8000000000000007,-0.10000000000000053,-18.166939443535192,1,0,0,25-30,0.19861347138181706,1.1294434887686653,0.06369254488529176,0
Andrew Benintendi,CWS,OF,31,L,0,391.0,434.0,87.6,88.2,7.3,6.3,73.9,74.0,0.199,0.212,8.4,9.0,39.7,39.2,12.0,12.0,0.0307,0.0271,17.4,21.6,0.257,0.264,0.574,0.554,0.317,0.29,0.6000000000000085,-0.5,-1.0,0.09999999999999432,0.012999999999999984,0.007000000000000006,-0.027000000000000024,-0.019999999999999907,-0.0036000000000000025,4.200000000000003,0.5999999999999996,-11.726384364820852,0,1,0,30-35,0.1437774287780819,0.41007888693187305,1.0647270419991677,0
Anthony Volpe,NYY,SS,24,R,1,537.0,552.0,85.6,88.4,9.1,11.9,73.9,75.2,0.206,0.227,11.6,11.6,28.3,36.5,18.0,32.0,0.0335,0.0578,17.7,17.1,0.255,0.291,0.62,0.673,0.365,0.382,2.8000000000000114,8.2,2.8000000000000007,1.2999999999999972,0.02100000000000002,0.035999999999999976,0.017000000000000015,0.05300000000000005,0.024299999999999995,-0.5999999999999979,0.0,72.5373134328358,1,0,0,U25,-0.404582997259262,-1.334762913268008,1.0647270419991677,1
Austin Wells,NYY,C,26,L,1,416.0,463.0,82.0,82.0,6.0,5.7,71.5,72.0,0.267,0.275,3.9,3.2,36.4,36.3,14.0,16.0,0.0337,0.0354,21.6,22.2,0.351,0.36,0.798,0.879,0.447,0.519,0.0,-0.10000000000000142,-0.2999999999999998,0.5,0.008000000000000007,0.009000000000000008,0.07200000000000001,0.08099999999999996,0.0017000000000000001,0.5999999999999979,-0.6999999999999997,5.044510385756684,0,1,0,25-30,-1.3916317641264795,-0.0950068973365142,0.020169305880343318,0
Bobby Witt Jr.,KC,SS,26,R,0,582.0,413.0,84.6,83.9,6.3,5.8,75.1,75.7,0.258,0.229,10.4,10.2,44.0,45.3,11.0,7.0,0.0189,0.0171,19.8,20.2,0.338,0.328,0.835,0.773,0.496,0.445,-0.6999999999999886,1.2999999999999972,-0.5,0.6000000000000085,-0.028999999999999998,-0.010000000000000009,-0.05099999999999999,-0.061999999999999944,-0.0017999999999999995,0.3999999999999986,-0.20000000000000107,-9.523809523809524,1,0,0,25-30,-0.678763210277934,1.0682209694634066,1.5870059100585738,0
Bryce Harper,PHI,1B,33,L,0,494.0,564.0,93.9,93.8,9.6,9.3,71.4,71.9,0.251,0.229,10.1,11.0,39.1,40.0,25.0,27.0,0.0506,0.0486,27.4,29.4,0.31,0.292,0.761,0.683,0.451,0.391,-0.10000000000000853,0.8999999999999986,-0.29999999999999893,0.5,-0.021999999999999992,-0.018000000000000016,-0.06,-0.07799999999999996,-0.0020000000000000018,2.0,0.9000000000000004,-3.9525691699604737,0,1,0,30-35,1.8711127707957182,0.31824510797398436,-0.02335393312460512,0
Byron Buxton,MIN,OF,32,R,0,419.0,414.0,87.4,87.4,9.7,10.3,72.2,72.8,0.237,0.231,10.2,9.7,20.0,21.6,38.0,36.0,0.0907,0.086,24.1,26.3,0.286,0.295,0.738,0.733,0.452,0.438,0.0,1.6000000000000014,0.6000000000000014,0.5999999999999943,-0.005999999999999978,0.009000000000000008,-0.014000000000000012,-0.0050000000000000044,-0.00470000000000001,2.1999999999999993,-0.5,-5.181918412348407,1,0,0,30-35,0.08894138617435061,-2.605130188852132,0.324831978915001,0
Cal Raleigh,SEA,C,28,S,1,500.0,418.0,82.8,85.2,6.3,8.9,73.6,74.8,0.212,0.224,7.4,8.0,27.6,35.7,7.0,11.0,0.014,0.0255,22.4,23.2,0.296,0.329,0.665,0.743,0.37,0.414,2.4000000000000057,8.100000000000001,2.6000000000000005,1.2000000000000028,0.01200000000000001,0.03300000000000003,0.043999999999999984,0.07799999999999996,0.011499999999999998,0.8000000000000007,0.5999999999999996,82.14285714285711,0,0,1,25-30,-1.1722875937115427,-1.4419023220522114,0.93415732498431,1
Cody Bellinger,NYY,OF,29,L,1,557.0,381.0,87.0,87.3,8.3,8.1,72.0,71.8,0.277,0.277,4.6,5.0,39.6,41.2,22.0,17.0,0.0395,0.0436,25.2,24.2,0.356,0.341,0.839,0.878,0.483,0.537,0.29999999999999716,1.6000000000000014,-0.20000000000000107,-0.20000000000000284,0.0,-0.014999999999999958,0.05400000000000005,0.039000000000000035,0.0040999999999999995,-1.0,0.40000000000000036,10.379746835443026,0,1,0,25-30,-0.020730699033119724,0.39477325710555805,0.2377855009050979,0
